state_name,year,ai_jobs_count,percent,all_jobs_state_year,state_ai_share_within_state
Michigan,2020,21,2.4193548387096775,973,0.02158273381294964
Michigan,2021,16,1.4719411223551058,1239,0.0129136400322841
Michigan,2022,37,2.74888558692422,1427,0.02592852137351086
Michigan,2023,23,2.5,1115,0.02062780269058296
Minnesota,2010,2,1.342281879194631,234,0.008547008547008548
Minnesota,2011,3,1.8987341772151898,303,0.009900990099009901
Minnesota,2012,6,3.061224489795918,262,0.022900763358778626
Minnesota,2013,4,1.4388489208633093,587,0.0068143100511073255
Minnesota,2014,9,2.37467018469657,565,0.01592920353982301
Minnesota,2015,5,1.1494252873563218,644,0.007763975155279503
Minnesota,2016,6,1.25,694,0.008645533141210375
Minnesota,2017,10,1.7301038062283738,684,0.014619883040935672
Minnesota,2018,20,2.296211251435132,792,0.025252525252525252
Minnesota,2019,16,1.7937219730941705,712,0.02247191011235955
Minnesota,2020,14,1.6129032258064515,699,0.020028612303290415
Minnesota,2021,20,1.8399264029438822,867,0.02306805074971165
Minnesota,2022,25,1.8573551263001487,964,0.025933609958506226
Minnesota,2023,11,1.1956521739130435,751,0.014647137150466045
Mississippi,2010,0,0,67,0
Mississippi,2011,0,0,88,0
Mississippi,2012,0,0,59,0
Mississippi,2013,1,0.3597122302158273,107,0.009345794392523364
Mississippi,2014,0,0,158,0
Mississippi,2015,0,0,151,0
Mississippi,2016,0,0,184,0
Mississippi,2017,1,0.17301038062283736,154,0.006493506493506494
Mississippi,2018,1,0.1148105625717566,185,0.005405405405405406
Mississippi,2019,3,0.336322869955157,146,0.02054794520547945
Mississippi,2020,2,0.2304147465437788,178,0.011235955056179775
Mississippi,2021,0,0,221,0
Mississippi,2022,10,0.7429420505200595,212,0.04716981132075472
Mississippi,2023,7,0.7608695652173914,239,0.029288702928870293
Missouri,2010,4,2.684563758389262,227,0.01762114537444934
Missouri,2011,0,0,311,0
Missouri,2012,3,1.530612244897959,323,0.009287925696594427
Missouri,2013,3,1.079136690647482,374,0.008021390374331552
Missouri,2014,2,0.5277044854881267,408,0.004901960784313725
Missouri,2015,9,2.0689655172413794,400,0.0225
Missouri,2016,6,1.25,458,0.013100436681222707
Missouri,2017,8,1.3840830449826989,538,0.01486988847583643
Missouri,2018,12,1.3777267508610793,626,0.019169329073482427
Missouri,2019,11,1.2331838565022422,585,0.018803418803418803
Missouri,2020,15,1.728110599078341,647,0.023183925811437404
Missouri,2021,16,1.4719411223551058,761,0.02102496714848883
Missouri,2022,17,1.263001485884101,935,0.01818181818181818
Missouri,2023,12,1.3043478260869565,775,0.015483870967741935
Montana,2010,0,0,32,0
Montana,2011,0,0,40,0
Montana,2012,0,0,38,0
Montana,2013,0,0,92,0
Montana,2014,0,0,93,0
Montana,2015,0,0,100,0
Montana,2016,0,0,91,0
Montana,2017,0,0,98,0
Montana,2018,2,0.2296211251435132,108,0.018518518518518517
Montana,2019,1,0.11210762331838565,92,0.010869565217391304
Montana,2020,1,0.1152073732718894,90,0.011111111111111112
Montana,2021,0,0,107,0
Montana,2022,3,0.22288261515601784,133,0.022556390977443608
Montana,2023,0,0,112,0
Nebraska,2010,0,0,112,0
Nebraska,2011,1,0.6329113924050633,119,0.008403361344537815
Nebraska,2012,0,0,102,0
Nebraska,2013,2,0.7194244604316546,162,0.012345679012345678
Nebraska,2014,3,0.7915567282321899,182,0.016483516483516484
Nebraska,2015,1,0.22988505747126436,129,0.007751937984496124
Nebraska,2016,1,0.20833333333333334,150,0.006666666666666667
Nebraska,2017,1,0.17301038062283736,165,0.006060606060606061
Nebraska,2018,3,0.34443168771526983,250,0.012
Nebraska,2019,5,0.5605381165919282,226,0.022123893805309734
Nebraska,2020,4,0.4608294930875576,196,0.02040816326530612
Nebraska,2021,6,0.5519779208831647,277,0.021660649819494584
Nebraska,2022,6,0.4457652303120357,349,0.017191977077363897
Nebraska,2023,8,0.8695652173913043,284,0.028169014084507043
Nevada,2010,0,0,133,0
Nevada,2011,2,1.2658227848101267,159,0.012578616352201259
Nevada,2012,1,0.5102040816326531,169,0.005917159763313609
Nevada,2013,2,0.7194244604316546,183,0.01092896174863388
Nevada,2014,2,0.5277044854881267,183,0.01092896174863388
Nevada,2015,1,0.22988505747126436,202,0.0049504950495049506
Nevada,2016,3,0.625,221,0.013574660633484163
Nevada,2017,2,0.3460207612456747,235,0.00851063829787234
Nevada,2018,4,0.4592422502870264,351,0.011396011396011397
Nevada,2019,4,0.4484304932735426,375,0.010666666666666666
Nevada,2020,2,0.2304147465437788,328,0.006097560975609756
Nevada,2021,4,0.36798528058877644,457,0.0087527352297593
Nevada,2022,7,0.5200594353640416,552,0.012681159420289856
Nevada,2023,10,1.0869565217391304,454,0.022026431718061675
New Hampshire,2010,2,1.342281879194631,74,0.02702702702702703
New Hampshire,2011,0,0,67,0
New Hampshire,2012,1,0.5102040816326531,54,0.018518518518518517
New Hampshire,2013,1,0.3597122302158273,96,0.010416666666666666
New Hampshire,2014,4,1.0554089709762533,118,0.03389830508474576
New Hampshire,2015,0,0,94,0
New Hampshire,2016,1,0.20833333333333334,128,0.0078125
New Hampshire,2017,2,0.3460207612456747,124,0.016129032258064516
New Hampshire,2018,3,0.34443168771526983,144,0.020833333333333332
New Hampshire,2019,1,0.11210762331838565,113,0.008849557522123894
New Hampshire,2020,3,0.3456221198156682,132,0.022727272727272728
New Hampshire,2021,8,0.7359705611775529,189,0.042328042328042326
New Hampshire,2022,3,0.22288261515601784,214,0.014018691588785047
New Hampshire,2023,5,0.5434782608695652,223,0.02242152466367713
New Jersey,2010,9,6.040268456375839,493,0.018255578093306288
New Jersey,2011,11,6.962025316455696,504,0.021825396825396824
New Jersey,2012,6,3.061224489795918,512,0.01171875
New Jersey,2013,25,8.992805755395683,625,0.04
New Jersey,2014,17,4.485488126649076,630,0.026984126984126985
New Jersey,2015,14,3.218390804597701,676,0.020710059171597635
New Jersey,2016,29,6.041666666666667,743,0.039030955585464336
New Jersey,2017,34,5.882352941176471,774,0.04392764857881137
New Jersey,2018,30,3.444316877152698,902,0.03325942350332594
New Jersey,2019,20,2.242152466367713,796,0.02512562814070352
New Jersey,2020,31,3.5714285714285716,963,0.032191069574247146
New Jersey,2021,34,3.1278748850045996,1062,0.032015065913371
New Jersey,2022,54,4.011887072808321,1112,0.048561151079136694
New Jersey,2023,32,3.4782608695652173,900,0.035555555555555556
New Mexico,2010,0,0,70,0
New Mexico,2011,0,0,113,0
New Mexico,2012,0,0,97,0
New Mexico,2013,1,0.3597122302158273,133,0.007518796992481203
New Mexico,2014,1,0.2638522427440633,139,0.007194244604316547
New Mexico,2015,2,0.45977011494252873,134,0.014925373134328358
New Mexico,2016,1,0.20833333333333334,128,0.0078125
New Mexico,2017,0,0,152,0
New Mexico,2018,4,0.4592422502870264,174,0.022988505747126436
New Mexico,2019,2,0.2242152466367713,198,0.010101010101010102
New Mexico,2020,2,0.2304147465437788,190,0.010526315789473684
New Mexico,2021,3,0.27598896044158233,249,0.012048192771084338
New Mexico,2022,5,0.37147102526002973,233,0.02145922746781116
New Mexico,2023,4,0.43478260869565216,249,0.01606425702811245
New York,2010,14,9.395973154362416,773,0.018111254851228976
New York,2011,14,8.860759493670885,824,0.01699029126213592
New York,2012,17,8.673469387755102,886,0.019187358916478554
New York,2013,20,7.1942446043165464,1175,0.01702127659574468
New York,2014,32,8.443271767810026,1116,0.02867383512544803
New York,2015,52,11.954022988505747,1435,0.03623693379790941
New York,2016,32,6.666666666666667,1397,0.02290622763063708
New York,2017,47,8.131487889273357,1405,0.03345195729537367
New York,2018,56,6.42939150401837,1636,0.034229828850855744
New York,2019,74,8.295964125560538,1747,0.042358328563251287
New York,2020,52,5.990783410138249,1526,0.03407601572739188
New York,2021,60,5.519779208831647,1851,0.03241491085899514
New York,2022,77,5.720653789004458,2072,0.037162162162162164
New York,2023,63,6.8478260869565215,1780,0.03539325842696629
North Carolina,2010,3,2.0134228187919465,366,0.00819672131147541
North Carolina,2011,3,1.8987341772151898,370,0.008108108108108109
North Carolina,2012,5,2.5510204081632653,374,0.013368983957219251
North Carolina,2013,8,2.8776978417266186,606,0.013201320132013201
North Carolina,2014,8,2.1108179419525066,545,0.014678899082568808
North Carolina,2015,14,3.218390804597701,630,0.022222222222222223
North Carolina,2016,14,2.9166666666666665,624,0.022435897435897436
North Carolina,2017,15,2.5951557093425603,698,0.02148997134670487
North Carolina,2018,42,4.822043628013777,1074,0.03910614525139665
North Carolina,2019,52,5.829596412556054,1204,0.04318936877076412
North Carolina,2020,31,3.5714285714285716,1226,0.02528548123980424
North Carolina,2021,50,4.599816007359705,1428,0.0350140056022409
North Carolina,2022,47,3.4918276374442794,1619,0.029030265596046944
North Carolina,2023,20,2.1739130434782608,1324,0.015105740181268883
North Dakota,2010,0,0,24,0
North Dakota,2011,0,0,38,0
North Dakota,2012,0,0,37,0
North Dakota,2013,0,0,87,0
North Dakota,2014,1,0.2638522427440633,86,0.011627906976744186
North Dakota,2015,0,0,85,0
North Dakota,2016,0,0,77,0
North Dakota,2017,0,0,75,0
North Dakota,2018,1,0.1148105625717566,83,0.012048192771084338
North Dakota,2019,0,0,53,0
North Dakota,2020,0,0,65,0
North Dakota,2021,1,0.09199632014719411,101,0.009900990099009901
North Dakota,2022,1,0.07429420505200594,131,0.007633587786259542
North Dakota,2023,1,0.10869565217391304,120,0.008333333333333333
Ohio,2010,7,4.697986577181208,408,0.01715686274509804
Ohio,2011,3,1.8987341772151898,503,0.005964214711729622
Ohio,2012,3,1.530612244897959,491,0.006109979633401222
Ohio,2013,9,3.237410071942446,667,0.013493253373313344
Ohio,2014,6,1.5831134564643798,821,0.007308160779537149
Ohio,2015,7,1.6091954022988506,1010,0.006930693069306931
Ohio,2016,13,2.7083333333333335,918,0.014161220043572984
Ohio,2017,9,1.5570934256055364,834,0.01079136690647482
Ohio,2018,15,1.722158438576349,1125,0.013333333333333334
Ohio,2019,26,2.914798206278027,1235,0.021052631578947368
Ohio,2020,19,2.1889400921658986,1306,0.01454823889739663
Ohio,2021,25,2.2999080036798527,1577,0.01585288522511097
Ohio,2022,41,3.0460624071322435,1752,0.023401826484018264
Ohio,2023,17,1.8478260869565217,1438,0.011821974965229486
Oklahoma,2010,0,0,138,0
Oklahoma,2011,0,0,139,0
Oklahoma,2012,2,1.0204081632653061,157,0.012738853503184714
